target_gene,target_entrez_id,documented_aliases,match_method,n_candidate_probes,candidate_probes_json,selected_probe_id,selected_hugo_symbol,selected_entrez_id,selected_variance,probe_selection_rule,status
ERBB2,2064,,entrez,1,"[{""row_index"": 11007, ""Hugo_Symbol"": ""ERBB2"", ""Entrez_Gene_Id"": 2064, ""variance"": 1.8807938822000645}]",row:11007|Hugo:ERBB2|Entrez:2064,ERBB2,2064,1.8807938822000645,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
ESR1,2099,,entrez,1,"[{""row_index"": 9092, ""Hugo_Symbol"": ""ESR1"", ""Entrez_Gene_Id"": 2099, ""variance"": 4.602548347710056}]",row:9092|Hugo:ESR1|Entrez:2099,ESR1,2099,4.602548347710056,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
EXO1,9156,,entrez,1,"[{""row_index"": 4939, ""Hugo_Symbol"": ""EXO1"", ""Entrez_Gene_Id"": 9156, ""variance"": 0.5899345417093348}]",row:4939|Hugo:EXO1|Entrez:9156,EXO1,9156,0.5899345417093348,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
FGFR4,2264,,entrez,1,"[{""row_index"": 396, ""Hugo_Symbol"": ""FGFR4"", ""Entrez_Gene_Id"": 2264, ""variance"": 1.0208892454787521}]",row:396|Hugo:FGFR4|Entrez:2264,FGFR4,2264,1.0208892454787521,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
FOXA1,3169,,entrez,1,"[{""row_index"": 2265, ""Hugo_Symbol"": ""FOXA1"", ""Entrez_Gene_Id"": 3169, ""variance"": 3.1613864462631533}]",row:2265|Hugo:FOXA1|Entrez:3169,FOXA1,3169,3.1613864462631533,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
FOXC1,2296,,entrez,1,"[{""row_index"": 14013, ""Hugo_Symbol"": ""FOXC1"", ""Entrez_Gene_Id"": 2296, ""variance"": 2.2105282032721405}]",row:14013|Hugo:FOXC1|Entrez:2296,FOXC1,2296,2.2105282032721405,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
GPR160,26996,,entrez,1,"[{""row_index"": 20178, ""Hugo_Symbol"": ""GPR160"", ""Entrez_Gene_Id"": 26996, ""variance"": 0.7117775739837842}]",row:20178|Hugo:GPR160|Entrez:26996,GPR160,26996,0.7117775739837842,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
GRB7,2886,,entrez,1,"[{""row_index"": 15911, ""Hugo_Symbol"": ""GRB7"", ""Entrez_Gene_Id"": 2886, ""variance"": 1.5933775486639805}]",row:15911|Hugo:GRB7|Entrez:2886,GRB7,2886,1.5933775486639805,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
KIF2C,11004,,entrez,1,"[{""row_index"": 4190, ""Hugo_Symbol"": ""KIF2C"", ""Entrez_Gene_Id"": 11004, ""variance"": 0.5734560714506778}]",row:4190|Hugo:KIF2C|Entrez:11004,KIF2C,11004,0.5734560714506778,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
NDC80,10403,KNTC2,entrez,1,"[{""row_index"": 2898, ""Hugo_Symbol"": ""NDC80"", ""Entrez_Gene_Id"": 10403, ""variance"": 0.2446361903855017}]",row:2898|Hugo:NDC80|Entrez:10403,NDC80,10403,0.2446361903855017,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
KRT14,3861,,entrez,1,"[{""row_index"": 13668, ""Hugo_Symbol"": ""KRT14"", ""Entrez_Gene_Id"": 3861, ""variance"": 2.0534599418509756}]",row:13668|Hugo:KRT14|Entrez:3861,KRT14,3861,2.0534599418509756,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
KRT17,3872,,entrez,1,"[{""row_index"": 10301, ""Hugo_Symbol"": ""KRT17"", ""Entrez_Gene_Id"": 3872, ""variance"": 2.9896575032619905}]",row:10301|Hugo:KRT17|Entrez:3872,KRT17,3872,2.9896575032619905,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
KRT5,3852,,entrez,1,"[{""row_index"": 15689, ""Hugo_Symbol"": ""KRT5"", ""Entrez_Gene_Id"": 3852, ""variance"": 1.5069447156871414}]",row:15689|Hugo:KRT5|Entrez:3852,KRT5,3852,1.5069447156871414,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MAPT,4137,,entrez,1,"[{""row_index"": 7237, ""Hugo_Symbol"": ""MAPT"", ""Entrez_Gene_Id"": 4137, ""variance"": 2.4580784164296006}]",row:7237|Hugo:MAPT|Entrez:4137,MAPT,4137,2.4580784164296006,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MDM2,4193,,entrez,1,"[{""row_index"": 1830, ""Hugo_Symbol"": ""MDM2"", ""Entrez_Gene_Id"": 4193, ""variance"": 0.053959668331559414}]",row:1830|Hugo:MDM2|Entrez:4193,MDM2,4193,0.053959668331559414,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MELK,9833,,entrez,1,"[{""row_index"": 679, ""Hugo_Symbol"": ""MELK"", ""Entrez_Gene_Id"": 9833, ""variance"": 0.9089121728338029}]",row:679|Hugo:MELK|Entrez:9833,MELK,9833,0.9089121728338029,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MIA,8190,,entrez,1,"[{""row_index"": 19171, ""Hugo_Symbol"": ""MIA"", ""Entrez_Gene_Id"": 8190, ""variance"": 0.5879515507043696}]",row:19171|Hugo:MIA|Entrez:8190,MIA,8190,0.5879515507043696,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MKI67,4288,,entrez,1,"[{""row_index"": 124, ""Hugo_Symbol"": ""MKI67"", ""Entrez_Gene_Id"": 4288, ""variance"": 0.11674945792208066}]",row:124|Hugo:MKI67|Entrez:4288,MKI67,4288,0.11674945792208066,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MLPH,79083,,entrez,1,"[{""row_index"": 5906, ""Hugo_Symbol"": ""MLPH"", ""Entrez_Gene_Id"": 79083, ""variance"": 2.8618144324571078}]",row:5906|Hugo:MLPH|Entrez:79083,MLPH,79083,2.8618144324571078,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MMP11,4320,,entrez,1,"[{""row_index"": 6627, ""Hugo_Symbol"": ""MMP11"", ""Entrez_Gene_Id"": 4320, ""variance"": 2.2155563392071764}]",row:6627|Hugo:MMP11|Entrez:4320,MMP11,4320,2.2155563392071764,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MYBL2,4605,,entrez,1,"[{""row_index"": 8894, ""Hugo_Symbol"": ""MYBL2"", ""Entrez_Gene_Id"": 4605, ""variance"": 0.028972282283702928}]",row:8894|Hugo:MYBL2|Entrez:4605,MYBL2,4605,0.028972282283702928,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
MYC,4609,,entrez,1,"[{""row_index"": 14767, ""Hugo_Symbol"": ""MYC"", ""Entrez_Gene_Id"": 4609, ""variance"": 1.196345013594061}]",row:14767|Hugo:MYC|Entrez:4609,MYC,4609,1.196345013594061,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
NAT1,9,,entrez,1,"[{""row_index"": 17095, ""Hugo_Symbol"": ""NAT1"", ""Entrez_Gene_Id"": 9, ""variance"": 3.667440704328696}]",row:17095|Hugo:NAT1|Entrez:9,NAT1,9,3.667440704328696,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
ORC6,23594,ORC6L,entrez,1,"[{""row_index"": 6119, ""Hugo_Symbol"": ""ORC6"", ""Entrez_Gene_Id"": 23594, ""variance"": 0.19917100485472744}]",row:6119|Hugo:ORC6|Entrez:23594,ORC6,23594,0.19917100485472744,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
PGR,5241,,entrez,1,"[{""row_index"": 16255, ""Hugo_Symbol"": ""PGR"", ""Entrez_Gene_Id"": 5241, ""variance"": 1.0418470272855391}]",row:16255|Hugo:PGR|Entrez:5241,PGR,5241,1.0418470272855391,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
PHGDH,26227,,entrez,1,"[{""row_index"": 755, ""Hugo_Symbol"": ""PHGDH"", ""Entrez_Gene_Id"": 26227, ""variance"": 1.6858341090056241}]",row:755|Hugo:PHGDH|Entrez:26227,PHGDH,26227,1.6858341090056241,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
PTTG1,9232,,entrez,1,"[{""row_index"": 4321, ""Hugo_Symbol"": ""PTTG1"", ""Entrez_Gene_Id"": 9232, ""variance"": 0.9153669214306506}]",row:4321|Hugo:PTTG1|Entrez:9232,PTTG1,9232,0.9153669214306506,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
RRM2,6241,,entrez,1,"[{""row_index"": 1360, ""Hugo_Symbol"": ""RRM2"", ""Entrez_Gene_Id"": 6241, ""variance"": 0.23758742954948936}]",row:1360|Hugo:RRM2|Entrez:6241,RRM2,6241,0.23758742954948936,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
SFRP1,6422,,entrez,1,"[{""row_index"": 19051, ""Hugo_Symbol"": ""SFRP1"", ""Entrez_Gene_Id"": 6422, ""variance"": 3.2628373673867905}]",row:19051|Hugo:SFRP1|Entrez:6422,SFRP1,6422,3.2628373673867905,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
SLC39A6,25800,,entrez,1,"[{""row_index"": 20565, ""Hugo_Symbol"": ""SLC39A6"", ""Entrez_Gene_Id"": 25800, ""variance"": 2.617161355541702}]",row:20565|Hugo:SLC39A6|Entrez:25800,SLC39A6,25800,2.617161355541702,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
TMEM45B,120224,,entrez,1,"[{""row_index"": 1133, ""Hugo_Symbol"": ""TMEM45B"", ""Entrez_Gene_Id"": 120224, ""variance"": 0.37392195701358827}]",row:1133|Hugo:TMEM45B|Entrez:120224,TMEM45B,120224,0.37392195701358827,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
TYMS,7298,,entrez,1,"[{""row_index"": 16008, ""Hugo_Symbol"": ""TYMS"", ""Entrez_Gene_Id"": 7298, ""variance"": 0.7662035915038036}]",row:16008|Hugo:TYMS|Entrez:7298,TYMS,7298,0.7662035915038036,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
UBE2C,11065,,entrez,1,"[{""row_index"": 11954, ""Hugo_Symbol"": ""UBE2C"", ""Entrez_Gene_Id"": 11065, ""variance"": 1.5351215835940775}]",row:11954|Hugo:UBE2C|Entrez:11065,UBE2C,11065,1.5351215835940775,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
UBE2T,29089,,entrez,1,"[{""row_index"": 6878, ""Hugo_Symbol"": ""UBE2T"", ""Entrez_Gene_Id"": 29089, ""variance"": 0.6682589919593153}]",row:6878|Hugo:UBE2T|Entrez:29089,UBE2T,29089,0.6682589919593153,"Among rows mapping to the same target gene, select the probe/row with the highest variance across all expression samples (unsupervised, deterministic; ties broken by smaller Entrez_Gene_Id then lexicographic Hugo_Symbol).",mapped
